size  rank  host  max_eigen_value
288 0 cn41 NaN
288 251 cn57 13.84185 
288 109 cn54 15.95371 
288 211 cn56 13.05245 
288 5 cn41 13.43461 
288 10 cn41 13.84803 
288 11 cn41 12.87339 
288 21 cn41 14.77634 
288 1 cn41 14.1254 
288 3 cn41 15.48058 
288 242 cn57 14.23499 
288 118 cn54 13.32261 
288 131 cn54 15.03702 
288 130 cn54 14.22953 
288 103 cn54 14.62884 
288 127 cn54 15.8032 
288 244 cn57 15.02344 
288 46 cn41 14.70836 
288 90 cn53 14.74746 
288 45 cn41 14.16798 
288 32 cn41 14.46463 
288 33 cn41 13.59478 
288 180 cn55 14.93467 
288 112 cn54 14.19684 
288 246 cn57 14.84217 
288 267 cn57 15.41432 
288 195 cn56 15.85829 
288 194 cn56 14.79712 
288 219 cn56 14.53424 
288 203 cn56 14.32587 
288 214 cn56 14.2413 
288 233 cn56 14.07412 
288 18 cn41 14.96226 
288 208 cn56 13.85778 
288 39 cn41 15.78296 
288 275 cn57 15.18626 
288 277 cn57 15.73767 
288 120 cn54 14.82116 
288 254 cn57 15.06017 
288 28 cn41 13.18627 
288 106 cn54 14.19744 
288 84 cn53 16.45047 
288 24 cn41 16.24105 
288 49 cn53 15.58099 
288 258 cn57 14.5682 
288 122 cn54 12.76797 
288 161 cn55 15.27865 
288 157 cn55 13.3869 
288 160 cn55 14.67521 
288 31 cn41 13.17381 
288 257 cn57 14.53082 
288 63 cn53 14.79157 
288 71 cn53 13.58516 
288 105 cn54 16.85706 
288 123 cn54 15.67484 
288 139 cn54 13.94979 
288 252 cn57 14.95999 
288 42 cn41 13.99221 
288 2 cn41 13.16357 
288 193 cn56 14.33173 
288 40 cn41 15.04344 
288 66 cn53 14.19009 
288 77 cn53 13.86674 
288 248 cn57 14.83438 
288 117 cn54 13.21676 
288 128 cn54 14.85684 
288 114 cn54 15.71051 
288 236 cn56 13.32746 
288 188 cn55 15.55891 
288 190 cn55 16.26492 
288 260 cn57 14.0987 
288 201 cn56 11.29141 
288 96 cn54 11.87007 
288 140 cn54 15.24319 
288 202 cn56 13.80939 
288 144 cn55 15.71067 
288 100 cn54 15.37882 
288 9 cn41 13.96695 
288 25 cn41 13.10893 
288 50 cn53 15.1888 
288 228 cn56 11.45396 
288 182 cn55 15.12758 
288 116 cn54 13.25437 
288 241 cn57 14.30267 
288 147 cn55 13.37409 
288 264 cn57 16.70386 
288 205 cn56 15.40779 
288 141 cn54 12.2679 
288 146 cn55 14.83217 
288 22 cn41 15.10828 
288 44 cn41 14.8816 
288 53 cn53 13.52439 
288 119 cn54 13.10648 
288 279 cn57 15.66543 
288 85 cn53 15.16357 
288 204 cn56 15.14081 
288 91 cn53 14.24661 
288 95 cn53 14.82576 
288 20 cn41 14.7011 
288 57 cn53 12.99185 
288 35 cn41 13.95361 
288 34 cn41 13.15073 
288 83 cn53 14.77496 
288 48 cn53 13.89064 
288 98 cn54 15.96764 
288 243 cn57 13.62807 
288 70 cn53 14.50791 
288 86 cn53 13.62301 
288 89 cn53 12.27551 
288 111 cn54 13.88191 
288 261 cn57 14.99074 
288 4 cn41 13.91501 
288 108 cn54 12.54296 
288 286 cn57 14.65223 
288 7 cn41 13.7462 
288 19 cn41 14.78434 
288 15 cn41 15.00217 
288 17 cn41 16.00521 
288 220 cn56 12.73278 
288 115 cn54 13.22107 
288 262 cn57 13.71424 
288 268 cn57 13.77483 
288 52 cn53 13.87754 
288 73 cn53 14.66646 
