size  rank  host  max_eigen_value
240 41 cn63 13.79239 
240 188 cn69 13.05999 
240 224 cn71 14.69313 
240 74 cn65 13.8039 
240 121 cn67 15.78027 
240 166 cn68 15.27976 
240 96 cn66 15.49103 
240 69 cn64 14.02749 
240 207 cn70 16.24372 
240 0 cn61 NaN
240 5 cn61 14.05353 
240 16 cn61 14.53773 
240 11 cn61 12.40794 
240 7 cn61 14.91121 
240 23 cn61 15.03029 
240 4 cn61 14.5737 
240 33 cn63 14.34586 
240 42 cn63 13.62963 
240 44 cn63 12.98978 
240 32 cn63 13.27053 
240 37 cn63 14.23374 
240 29 cn63 14.99523 
240 46 cn63 14.24513 
240 27 cn63 12.93069 
240 43 cn63 15.25452 
240 30 cn63 14.62246 
240 36 cn63 14.10022 
240 24 cn63 13.0299 
240 26 cn63 13.7962 
240 45 cn63 15.44541 
240 35 cn63 16.3491 
240 31 cn63 14.92892 
240 40 cn63 16.28228 
240 47 cn63 12.73425 
240 9 cn61 13.43605 
240 25 cn63 13.84899 
240 77 cn65 14.30264 
240 190 cn69 13.40053 
240 232 cn71 14.47179 
240 125 cn67 15.25127 
240 39 cn63 12.00884 
240 95 cn65 15.37262 
240 181 cn69 14.73872 
240 216 cn71 13.25749 
240 132 cn67 14.8146 
240 34 cn63 14.18461 
240 85 cn65 13.3536 
240 179 cn69 14.69742 
240 239 cn71 12.1895 
240 123 cn67 15.55445 
240 28 cn63 12.95288 
240 83 cn65 14.86616 
240 169 cn69 14.2921 
240 230 cn71 14.53903 
240 133 cn67 13.79566 
240 38 cn63 13.60002 
240 88 cn65 13.59281 
240 180 cn69 14.38385 
240 219 cn71 15.41251 
240 137 cn67 14.08179 
240 75 cn65 13.57498 
240 183 cn69 14.81127 
240 235 cn71 13.00185 
240 135 cn67 14.47585 
240 92 cn65 14.20716 
240 178 cn69 17.33429 
240 238 cn71 14.23949 
240 139 cn67 14.75114 
240 76 cn65 14.15758 
240 189 cn69 14.89567 
240 233 cn71 15.10399 
240 122 cn67 14.77688 
240 86 cn65 12.82885 
240 174 cn69 16.26586 
240 226 cn71 16.91285 
240 129 cn67 15.62695 
240 93 cn65 14.38601 
240 191 cn69 16.35216 
240 223 cn71 13.59137 
240 120 cn67 14.86657 
240 87 cn65 15.89864 
240 168 cn69 13.88005 
240 218 cn71 15.09195 
240 138 cn67 14.04767 
240 82 cn65 14.04718 
240 155 cn68 15.16884 
240 182 cn69 14.19489 
240 222 cn71 14.10421 
240 136 cn67 13.45897 
240 89 cn65 13.77315 
240 152 cn68 13.46182 
240 187 cn69 14.81291 
240 234 cn71 14.14521 
240 131 cn67 15.19325 
240 79 cn65 15.4667 
240 145 cn68 15.25664 
240 176 cn69 12.46776 
240 231 cn71 15.47156 
240 134 cn67 14.84799 
240 73 cn65 16.4244 
240 163 cn68 13.15641 
240 170 cn69 14.02381 
240 227 cn71 14.31401 
240 143 cn67 13.2446 
240 78 cn65 15.7382 
240 157 cn68 14.00947 
240 171 cn69 14.84545 
240 220 cn71 12.08348 
240 81 cn65 15.04657 
240 159 cn68 15.85288 
240 184 cn69 13.40365 
240 237 cn71 14.84101 
240 90 cn65 13.98653 
240 147 cn68 15.28812 
240 172 cn69 12.69967 
240 225 cn71 14.12427 
240 72 cn65 12.71803 
240 161 cn68 15.89885 
240 173 cn69 13.96069 
240 221 cn71 14.25712 
240 84 cn65 14.06639 
240 144 cn68 14.46486 
240 175 cn69 12.8269 
240 236 cn71 12.8619 
240 91 cn65 15.29921 
240 185 cn69 14.0943 
240 228 cn71 14.68746 
240 94 cn65 14.70145 
240 177 cn69 16.60834 
240 217 cn71 14.64942 
240 80 cn65 14.43593 
240 186 cn69 13.75737 
240 229 cn71 14.4333 
240 156 cn68 15.21441 
240 142 cn67 15.0509 
240 18 cn61 13.86859 
240 141 cn67 15.22702 
240 140 cn67 18.13009 
240 127 cn67 13.95991 
240 124 cn67 13.68496 
240 130 cn67 15.394 
240 126 cn67 14.11935 
240 128 cn67 14.75941 
240 151 cn68 12.85466 
240 115 cn66 13.34377 
240 48 cn64 15.4368 
240 105 cn66 15.75301 
240 67 cn64 15.18953 
240 119 cn66 14.48876 
240 55 cn64 14.34244 
240 110 cn66 14.16071 
240 56 cn64 15.43131 
240 114 cn66 13.18745 
240 65 cn64 14.55467 
240 112 cn66 13.77643 
240 68 cn64 14.17491 
240 118 cn66 13.30306 
240 57 cn64 13.52758 
240 113 cn66 14.59379 
240 64 cn64 13.92383 
240 99 cn66 14.26736 
240 66 cn64 13.6256 
240 98 cn66 14.66073 
240 62 cn64 14.57388 
240 106 cn66 15.11627 
240 49 cn64 13.20012 
240 116 cn66 13.71102 
240 54 cn64 15.66515 
240 108 cn66 15.97659 
240 59 cn64 15.05079 
240 100 cn66 14.34797 
240 70 cn64 13.07804 
240 101 cn66 17.32636 
240 50 cn64 13.78446 
240 107 cn66 13.75997 
240 53 cn64 13.67676 
240 117 cn66 14.11746 
240 60 cn64 14.73526 
240 102 cn66 14.4053 
240 63 cn64 12.82048 
240 109 cn66 14.85431 
240 52 cn64 13.33704 
240 111 cn66 15.13462 
240 51 cn64 13.49102 
240 97 cn66 15.02566 
240 71 cn64 15.45458 
240 103 cn66 13.80123 
240 58 cn64 13.66933 
240 104 cn66 15.75485 
240 61 cn64 16.42539 
240 153 cn68 14.03347 
240 146 cn68 13.98436 
