size  rank  host  max_eigen_value
288 0 cn41 NaN
288 102 cn54 14.02655 
288 216 cn56 14.25858 
288 160 cn55 15.80333 
288 51 cn53 14.54584 
288 137 cn54 13.39318 
288 135 cn54 14.7857 
288 98 cn54 13.06505 
288 139 cn54 13.92789 
288 223 cn56 15.42846 
288 222 cn56 14.31197 
288 284 cn57 13.88154 
288 217 cn56 13.45503 
288 152 cn55 15.32669 
288 150 cn55 15.53328 
288 177 cn55 13.46976 
288 162 cn55 15.20121 
288 166 cn55 15.23289 
288 156 cn55 15.8553 
288 190 cn55 13.47437 
288 189 cn55 14.03641 
288 112 cn54 13.50671 
288 176 cn55 15.21802 
288 206 cn56 13.08725 
288 80 cn53 13.48397 
288 69 cn53 14.64984 
288 12 cn41 13.89794 
288 23 cn41 14.6648 
288 244 cn57 14.34555 
288 68 cn53 14.87349 
288 279 cn57 13.81338 
288 76 cn53 15.66554 
288 256 cn57 17.22591 
288 56 cn53 14.44408 
288 13 cn41 14.56804 
288 108 cn54 14.48262 
288 122 cn54 16.35105 
288 28 cn41 15.19013 
288 148 cn55 13.68062 
288 181 cn55 11.86998 
288 263 cn57 14.03442 
288 188 cn55 14.32847 
288 159 cn55 14.54091 
288 161 cn55 15.54943 
288 146 cn55 15.16219 
288 74 cn53 14.96556 
288 183 cn55 14.69681 
288 228 cn56 15.15216 
288 157 cn55 15.01802 
288 47 cn41 13.25965 
288 114 cn54 12.67983 
288 186 cn55 14.36252 
288 267 cn57 13.24726 
288 104 cn54 13.45302 
288 255 cn57 14.60175 
288 95 cn53 14.70932 
288 184 cn55 15.09715 
288 194 cn56 13.67265 
288 140 cn54 14.5638 
288 30 cn41 13.76612 
288 129 cn54 13.13291 
288 94 cn53 16.01382 
288 132 cn54 14.7086 
288 79 cn53 14.31731 
288 207 cn56 16.26402 
288 123 cn54 13.85435 
288 61 cn53 12.85098 
288 209 cn56 15.66306 
288 211 cn56 13.25317 
288 105 cn54 13.97028 
288 247 cn57 15.05526 
288 106 cn54 15.19329 
288 285 cn57 15.09501 
288 242 cn57 13.27725 
288 253 cn57 13.84729 
288 34 cn41 15.09877 
288 269 cn57 14.02551 
288 88 cn53 14.31814 
288 226 cn56 13.206 
288 31 cn41 14.52486 
288 200 cn56 12.14956 
288 225 cn56 14.43344 
288 221 cn56 12.83428 
288 101 cn54 15.33187 
288 281 cn57 13.54977 
288 153 cn55 14.79136 
288 229 cn56 13.19944 
288 111 cn54 12.59154 
288 155 cn55 14.27072 
288 134 cn54 14.57316 
288 163 cn55 16.16552 
288 171 cn55 15.07705 
288 180 cn55 13.75463 
288 179 cn55 15.02174 
288 125 cn54 14.67641 
288 182 cn55 13.54916 
288 237 cn56 14.93587 
288 235 cn56 15.38452 
288 4 cn41 13.65015 
288 198 cn56 13.7986 
288 5 cn41 15.23927 
288 151 cn55 12.53893 
288 175 cn55 14.17505 
288 259 cn57 13.7197 
288 204 cn56 15.82484 
288 262 cn57 15.88642 
288 9 cn41 14.39597 
288 29 cn41 14.80109 
288 96 cn54 12.28713 
288 234 cn56 14.36222 
288 115 cn54 13.89521 
288 227 cn56 14.45861 
288 197 cn56 14.11019 
288 203 cn56 13.95222 
288 91 cn53 16.4916 
288 22 cn41 14.24809 
288 6 cn41 14.60063 
288 24 cn41 15.22507 
288 26 cn41 14.45186 
288 287 cn57 12.02983 
288 116 cn54 13.55662 
288 138 cn54 14.43329 
288 48 cn53 14.0291 
288 283 cn57 12.58018 
288 172 cn55 12.91301 
288 78 cn53 14.36641 
288 53 cn53 13.87036 
288 41 cn41 14.60866 
288 93 cn53 13.95062 
288 193 cn56 13.16371 
288 254 cn57 13.73647 
288 37 cn41 15.22237 
288 264 cn57 13.20601 
288 239 cn56 14.51449 
288 187 cn55 15.23376 
288 57 cn53 13.69594 
288 213 cn56 13.32886 
288 97 cn54 15.6445 
288 107 cn54 15.8706 
288 131 cn54 13.28726 
288 142 cn54 13.212 
288 52 cn53 15.26673 
288 195 cn56 17.28852 
288 215 cn56 13.44939 
288 205 cn56 13.33794 
288 210 cn56 13.81132 
288 168 cn55 14.42324 
288 164 cn55 16.90869 
288 169 cn55 15.74807 
288 43 cn41 14.45957 
288 25 cn41 13.24401 
288 165 cn55 14.50444 
288 128 cn54 15.93472 
288 214 cn56 15.4592 
288 232 cn56 14.17214 
288 100 cn54 13.18154 
288 118 cn54 15.32161 
288 120 cn54 14.46141 
288 86 cn53 13.8901 
288 90 cn53 14.8085 
288 19 cn41 16.68868 
288 145 cn55 13.79427 
288 149 cn55 14.2518 
288 173 cn55 14.11463 
288 119 cn54 15.1594 
288 45 cn41 14.84888 
288 10 cn41 15.18011 
288 46 cn41 13.04166 
288 246 cn57 15.32176 
288 130 cn54 14.27382 
288 20 cn41 13.47815 
288 236 cn56 14.10477 
288 109 cn54 13.25031 
288 27 cn41 16.94997 
288 84 cn53 14.58904 
288 243 cn57 13.85208 
288 154 cn55 14.40679 
288 158 cn55 15.25366 
288 170 cn55 16.11416 
288 278 cn57 14.4883 
288 224 cn56 15.78487 
288 59 cn53 13.08956 
288 208 cn56 14.50809 
288 192 cn56 14.35375 
288 49 cn53 14.85147 
288 110 cn54 15.76496 
288 250 cn57 15.06815 
288 273 cn57 13.59329 
288 178 cn55 14.55336 
288 103 cn54 13.836 
288 133 cn54 14.09541 
288 99 cn54 13.29391 
288 220 cn56 13.35121 
288 2 cn41 12.86481 
288 17 cn41 14.18752 
288 85 cn53 13.61707 
288 275 cn57 15.97467 
288 144 cn55 14.06356 
288 286 cn57 15.4798 
288 185 cn55 13.09692 
288 277 cn57 13.24 
288 33 cn41 12.7416 
288 199 cn56 13.55961 
288 7 cn41 14.78061 
288 58 cn53 13.68819 
288 147 cn55 12.99548 
288 231 cn56 15.42546 
288 141 cn54 13.11384 
288 191 cn55 14.03058 
288 266 cn57 13.92058 
288 44 cn41 14.65661 
288 32 cn41 14.75642 
288 36 cn41 13.55474 
288 276 cn57 14.68083 
288 245 cn57 14.6557 
288 42 cn41 14.51633 
288 202 cn56 13.0801 
288 60 cn53 14.36415 
288 63 cn53 14.78914 
288 67 cn53 13.92724 
288 73 cn53 13.80465 
288 81 cn53 14.30484 
288 92 cn53 15.45278 
288 71 cn53 13.54149 
288 261 cn57 14.29778 
288 251 cn57 12.37867 
288 212 cn56 13.99533 
288 218 cn56 14.04429 
288 11 cn41 15.51625 
288 219 cn56 13.00793 
288 87 cn53 14.302 
288 143 cn54 14.99095 
288 238 cn56 15.50307 
288 230 cn56 14.86283 
288 121 cn54 15.46376 
288 35 cn41 13.92358 
288 3 cn41 15.53277 
288 75 cn53 14.14218 
288 136 cn54 12.99634 
288 82 cn53 14.84966 
288 167 cn55 14.09227 
288 64 cn53 14.69555 
288 127 cn54 14.6147 
288 174 cn55 15.86258 
288 233 cn56 14.75207 
288 39 cn41 13.7242 
288 16 cn41 13.2474 
288 38 cn41 15.73501 
288 271 cn57 14.48903 
288 272 cn57 16.37537 
288 62 cn53 16.09579 
288 117 cn54 12.83041 
288 196 cn56 13.33115 
288 124 cn54 14.18361 
288 83 cn53 13.29114 
288 8 cn41 15.21582 
288 65 cn53 16.04858 
288 18 cn41 14.63633 
288 240 cn57 13.85052 
288 126 cn54 14.54171 
288 270 cn57 15.66013 
288 113 cn54 13.88958 
288 265 cn57 14.91044 
288 40 cn41 14.89512 
288 15 cn41 17.09497 
288 241 cn57 15.74569 
288 70 cn53 14.73581 
288 66 cn53 14.66554 
288 14 cn41 13.89867 
288 201 cn56 14.77129 
288 280 cn57 14.04035 
288 21 cn41 12.39675 
288 252 cn57 16.06661 
288 248 cn57 14.34434 
288 257 cn57 13.79977 
288 1 cn41 16.1928 
288 54 cn53 16.18779 
288 282 cn57 13.98175 
288 268 cn57 13.77503 
288 77 cn53 15.03682 
288 260 cn57 14.63375 
288 274 cn57 14.26748 
288 249 cn57 14.83516 
288 50 cn53 14.71331 
288 55 cn53 14.71699 
288 89 cn53 16.01329 
288 258 cn57 13.2476 
288 72 cn53 13.2471 
