size  rank  host  max_eigen_value
48 0 cn61 NaN
48 27 cn63 5.993414 
48 2 cn61 5.655837 
48 4 cn61 7.208312 
48 8 cn61 8.854553 
48 9 cn61 7.442113 
48 5 cn61 7.496537 
48 15 cn61 7.280866 
48 18 cn61 7.38661 
48 17 cn61 10.13171 
48 7 cn61 8.175975 
48 19 cn61 7.975277 
48 11 cn61 8.420005 
48 21 cn61 6.092093 
48 12 cn61 5.978556 
48 14 cn61 7.122372 
48 23 cn61 6.124988 
48 22 cn61 9.743505 
48 1 cn61 6.614267 
48 6 cn61 8.839188 
48 16 cn61 8.46778 
48 20 cn61 9.62828 
48 3 cn61 6.089739 
48 10 cn61 8.091079 
48 13 cn61 6.412275 
48 28 cn63 8.047209 
48 35 cn63 6.942286 
48 45 cn63 9.10141 
48 46 cn63 8.655183 
48 25 cn63 6.142722 
48 32 cn63 6.062775 
48 39 cn63 6.528302 
48 41 cn63 6.49228 
48 42 cn63 7.011517 
48 40 cn63 8.767305 
48 24 cn63 9.163544 
48 36 cn63 6.775993 
48 43 cn63 6.768999 
48 44 cn63 10.05496 
48 34 cn63 7.860205 
48 38 cn63 6.163193 
48 26 cn63 8.468991 
48 37 cn63 6.890783 
48 30 cn63 6.959756 
48 31 cn63 6.934517 
48 29 cn63 8.64888 
48 33 cn63 8.494982 
48 47 cn63 7.505206 
