size  rank  host  max_eigen_value
240 0 cn61 NaN
240 38 cn63 14.47677 
240 144 cn68 14.2618 
240 58 cn64 14.99744 
240 213 cn70 12.94573 
240 190 cn69 15.1952 
240 85 cn65 14.2166 
240 237 cn71 13.11428 
240 106 cn66 13.6335 
240 135 cn67 13.24317 
240 6 cn61 12.4672 
240 17 cn61 14.83717 
240 11 cn61 12.73534 
240 2 cn61 12.80585 
240 21 cn61 16.1983 
240 1 cn61 14.92639 
240 12 cn61 13.03357 
240 9 cn61 11.96597 
240 23 cn61 13.70603 
240 13 cn61 14.7179 
240 5 cn61 15.77674 
240 19 cn61 13.95904 
240 154 cn68 14.30139 
240 146 cn68 13.94235 
240 151 cn68 12.78037 
240 147 cn68 12.66005 
240 165 cn68 14.3059 
240 150 cn68 14.77936 
240 157 cn68 15.36528 
240 164 cn68 16.01926 
240 158 cn68 14.37721 
240 163 cn68 14.68572 
240 160 cn68 13.26213 
240 155 cn68 12.64845 
240 166 cn68 14.42648 
240 159 cn68 15.08239 
240 71 cn64 13.79709 
240 180 cn69 16.48193 
240 64 cn64 14.29979 
240 62 cn64 13.49959 
240 36 cn63 13.9114 
240 60 cn64 15.3222 
240 192 cn70 15.72634 
240 37 cn63 17.13579 
240 51 cn64 13.75975 
240 193 cn70 14.95319 
240 34 cn63 15.97312 
240 67 cn64 15.38284 
240 207 cn70 12.95898 
240 31 cn63 14.89696 
240 50 cn64 16.40436 
240 199 cn70 13.69064 
240 28 cn63 13.92013 
240 56 cn64 15.26281 
240 202 cn70 14.32829 
240 45 cn63 13.21266 
240 54 cn64 13.91287 
240 201 cn70 12.5509 
240 41 cn63 15.15633 
240 52 cn64 13.491 
240 215 cn70 13.88737 
240 32 cn63 14.98817 
240 145 cn68 15.28294 
240 167 cn68 13.20981 
240 162 cn68 15.81125 
240 53 cn64 15.73254 
240 66 cn64 13.75163 
240 209 cn70 14.12581 
240 153 cn68 13.84034 
240 69 cn64 14.58574 
240 149 cn68 15.42502 
240 4 cn61 14.25371 
240 47 cn63 14.44093 
240 156 cn68 14.52146 
240 3 cn61 13.3706 
240 42 cn63 15.06717 
240 148 cn68 14.45452 
240 40 cn63 14.56628 
240 152 cn68 13.84388 
240 25 cn63 12.38787 
240 161 cn68 16.31955 
240 77 cn65 14.12875 
240 94 cn65 12.97041 
240 95 cn65 15.01827 
240 20 cn61 14.67545 
240 43 cn63 14.40372 
240 61 cn64 12.74172 
240 22 cn61 16.30908 
240 65 cn64 14.62792 
240 183 cn69 12.65755 
240 70 cn64 15.40071 
240 191 cn69 14.63799 
240 49 cn64 13.77933 
240 204 cn70 14.78996 
240 57 cn64 14.30148 
240 48 cn64 15.3377 
240 16 cn61 14.54127 
240 18 cn61 13.78326 
240 59 cn64 15.34112 
240 15 cn61 14.86051 
240 68 cn64 13.2529 
240 10 cn61 13.23392 
240 8 cn61 14.82573 
240 7 cn61 13.66533 
240 205 cn70 14.67686 
240 14 cn61 13.43348 
240 210 cn70 15.97595 
240 55 cn64 13.86581 
240 35 cn63 13.78857 
240 63 cn64 14.88399 
240 30 cn63 13.77778 
240 173 cn69 15.34284 
240 44 cn63 15.39135 
240 33 cn63 14.55832 
240 46 cn63 14.61947 
240 29 cn63 15.58821 
240 24 cn63 14.95543 
240 27 cn63 14.3048 
240 177 cn69 14.46312 
240 26 cn63 13.77824 
240 39 cn63 14.383 
240 214 cn70 14.75876 
240 188 cn69 14.3722 
240 187 cn69 14.11539 
240 197 cn70 12.51936 
240 198 cn70 13.97413 
240 195 cn70 14.10636 
240 171 cn69 13.81744 
240 184 cn69 15.9896 
240 200 cn70 15.4249 
240 206 cn70 13.6562 
240 212 cn70 14.30309 
240 196 cn70 14.14516 
240 179 cn69 15.10301 
240 203 cn70 13.88601 
240 194 cn70 14.61095 
240 211 cn70 15.19909 
240 208 cn70 15.28359 
240 182 cn69 15.84512 
240 168 cn69 14.0136 
240 172 cn69 11.72534 
240 176 cn69 14.6967 
240 181 cn69 14.88132 
240 233 cn71 14.39311 
240 218 cn71 16.02572 
240 227 cn71 14.47206 
240 234 cn71 14.8638 
240 220 cn71 13.82413 
240 236 cn71 14.84842 
240 232 cn71 12.68102 
240 223 cn71 13.67064 
240 216 cn71 14.58453 
240 224 cn71 15.28133 
240 222 cn71 15.52265 
240 238 cn71 16.75846 
240 82 cn65 15.227 
240 217 cn71 14.03424 
240 170 cn69 14.15989 
240 228 cn71 15.46384 
240 226 cn71 14.88129 
240 169 cn69 13.95327 
240 175 cn69 13.96554 
240 186 cn69 13.70117 
240 229 cn71 12.75023 
240 235 cn71 15.60678 
240 178 cn69 16.09377 
240 239 cn71 17.0125 
240 225 cn71 14.13142 
240 230 cn71 13.95967 
240 219 cn71 15.83788 
240 189 cn69 13.74476 
240 221 cn71 14.56329 
240 109 cn66 14.27459 
240 112 cn66 12.98363 
240 118 cn66 14.09732 
240 115 cn66 15.69757 
240 117 cn66 15.01379 
240 99 cn66 12.3658 
240 116 cn66 14.97677 
240 111 cn66 13.97508 
240 103 cn66 14.34811 
240 107 cn66 15.02438 
240 114 cn66 15.01225 
240 119 cn66 13.79877 
240 100 cn66 15.24273 
240 102 cn66 14.05059 
240 96 cn66 15.33419 
240 97 cn66 15.15492 
240 108 cn66 15.84869 
240 110 cn66 15.38856 
240 104 cn66 15.15419 
240 113 cn66 13.57338 
240 98 cn66 14.13328 
240 101 cn66 13.19077 
240 105 cn66 14.10659 
240 185 cn69 13.14819 
240 174 cn69 15.42167 
240 89 cn65 12.92316 
240 231 cn71 14.91453 
240 122 cn67 15.94281 
240 74 cn65 13.49818 
