size  rank  host  max_eigen_value
240 0 cn61 NaN
240 7 cn61 7.795428 
240 13 cn61 8.151619 
240 6 cn61 7.115273 
240 39 cn63 6.343798 
240 11 cn61 6.309044 
240 8 cn61 7.522389 
240 10 cn61 7.620585 
240 4 cn61 8.695498 
240 9 cn61 8.611428 
240 15 cn61 7.468134 
240 3 cn61 7.363185 
240 19 cn61 8.058758 
240 117 cn66 6.235251 
240 51 cn64 6.740444 
240 179 cn69 7.355905 
240 150 cn68 5.032529 
240 76 cn65 6.637587 
240 23 cn61 7.402938 
240 129 cn67 8.759287 
240 16 cn61 8.366742 
240 1 cn61 6.780554 
240 20 cn61 7.149953 
240 12 cn61 7.995399 
240 14 cn61 5.859207 
240 22 cn61 8.22018 
240 18 cn61 7.780502 
240 21 cn61 6.910158 
240 5 cn61 7.097559 
240 221 cn71 6.23491 
240 2 cn61 9.201771 
240 17 cn61 7.374914 
240 192 cn70 8.344686 
240 42 cn63 8.360955 
240 38 cn63 7.043111 
240 24 cn63 7.608794 
240 33 cn63 8.071175 
240 36 cn63 8.622101 
240 31 cn63 7.549376 
240 27 cn63 7.718011 
240 34 cn63 6.063842 
240 44 cn63 7.90464 
240 37 cn63 8.021994 
240 26 cn63 5.329558 
240 32 cn63 6.562755 
240 28 cn63 10.27151 
240 29 cn63 7.299676 
240 41 cn63 8.399553 
240 47 cn63 7.817959 
240 40 cn63 7.90865 
240 25 cn63 9.027314 
240 45 cn63 7.889075 
240 30 cn63 9.110723 
240 43 cn63 7.943607 
240 35 cn63 8.617465 
240 46 cn63 6.746571 
240 59 cn64 8.295747 
240 69 cn64 7.380273 
240 52 cn64 7.781289 
240 99 cn66 5.184808 
240 180 cn69 8.924805 
240 54 cn64 8.444969 
240 104 cn66 7.98318 
240 182 cn69 7.386024 
240 57 cn64 7.645473 
240 105 cn66 9.187188 
240 191 cn69 7.057101 
240 60 cn64 9.231329 
240 114 cn66 6.659284 
240 172 cn69 6.10513 
240 65 cn64 6.6512 
240 116 cn66 6.946473 
240 174 cn69 6.695624 
240 67 cn64 8.189574 
240 111 cn66 6.83913 
240 176 cn69 8.04761 
240 70 cn64 6.234564 
240 109 cn66 7.813843 
240 178 cn69 6.911152 
240 50 cn64 7.632837 
240 98 cn66 6.281398 
240 184 cn69 7.921564 
240 49 cn64 8.7553 
240 100 cn66 8.574045 
240 169 cn69 8.237367 
240 71 cn64 6.716475 
240 112 cn66 7.32406 
240 181 cn69 6.583958 
240 55 cn64 8.408107 
240 107 cn66 6.330341 
240 190 cn69 7.657423 
240 63 cn64 6.95762 
240 119 cn66 8.940357 
240 168 cn69 6.659978 
240 68 cn64 6.763418 
240 118 cn66 6.538435 
240 171 cn69 7.16623 
240 66 cn64 7.419579 
240 115 cn66 6.60656 
240 183 cn69 8.521542 
240 64 cn64 9.94719 
240 108 cn66 6.74222 
240 170 cn69 6.926333 
240 53 cn64 6.796348 
240 101 cn66 7.877199 
240 177 cn69 7.527178 
240 56 cn64 7.616129 
240 96 cn66 6.172162 
240 187 cn69 6.014802 
240 61 cn64 6.733429 
240 106 cn66 5.460099 
240 188 cn69 9.058823 
240 62 cn64 6.931909 
240 102 cn66 7.682871 
240 173 cn69 6.98599 
240 48 cn64 8.937229 
240 113 cn66 8.541725 
240 186 cn69 6.951104 
240 58 cn64 6.738641 
240 103 cn66 5.727257 
240 175 cn69 6.926333 
240 97 cn66 8.991562 
240 189 cn69 6.996451 
240 110 cn66 7.604996 
240 185 cn69 6.005019 
240 95 cn65 6.851781 
