size  rank  host  max_eigen_value
96 0 cn41 NaN
96 71 cn53 6.483965 
96 57 cn53 7.179689 
96 59 cn53 6.97932 
96 75 cn53 8.001845 
96 92 cn53 5.707009 
96 60 cn53 7.545532 
96 68 cn53 5.929351 
96 49 cn53 8.052814 
96 51 cn53 6.962475 
96 54 cn53 6.583576 
96 63 cn53 7.64017 
96 72 cn53 7.157048 
96 83 cn53 6.758054 
96 84 cn53 9.930955 
96 86 cn53 9.559003 
96 73 cn53 7.772607 
96 79 cn53 7.562403 
96 81 cn53 9.27552 
96 85 cn53 7.149507 
96 55 cn53 7.235736 
96 62 cn53 6.104718 
96 66 cn53 5.913899 
96 70 cn53 7.539537 
96 76 cn53 7.22869 
96 78 cn53 7.3763 
96 88 cn53 6.181985 
96 91 cn53 8.17711 
96 95 cn53 7.306009 
96 82 cn53 5.777051 
96 77 cn53 7.58527 
96 50 cn53 6.203745 
96 53 cn53 7.33103 
96 69 cn53 7.7604 
96 48 cn53 6.75714 
96 58 cn53 8.27443 
96 61 cn53 5.88445 
96 64 cn53 9.696394 
96 74 cn53 7.945696 
96 90 cn53 4.734373 
96 93 cn53 8.180355 
96 94 cn53 8.312847 
96 52 cn53 9.806952 
96 80 cn53 7.110647 
96 56 cn53 10.08057 
96 87 cn53 8.191883 
96 67 cn53 8.720508 
96 89 cn53 6.456079 
96 65 cn53 8.139126 
96 14 cn41 9.063944 
96 5 cn41 4.831968 
96 9 cn41 7.963631 
96 10 cn41 7.601822 
96 12 cn41 5.102024 
96 15 cn41 6.459185 
96 18 cn41 7.603257 
96 19 cn41 7.429816 
96 21 cn41 5.857184 
96 27 cn41 3.880478 
96 31 cn41 4.691086 
96 35 cn41 9.120825 
96 40 cn41 8.340656 
96 22 cn41 7.59804 
96 41 cn41 5.204041 
96 44 cn41 6.76353 
96 46 cn41 6.868666 
96 24 cn41 9.744743 
96 33 cn41 8.111432 
96 6 cn41 7.781647 
96 42 cn41 10.87497 
96 30 cn41 6.65493 
96 20 cn41 9.145963 
96 2 cn41 10.15809 
96 13 cn41 7.860866 
96 36 cn41 7.257314 
96 16 cn41 7.109788 
96 17 cn41 8.051551 
96 23 cn41 6.133774 
96 37 cn41 6.950406 
96 28 cn41 7.921641 
96 26 cn41 7.251218 
96 25 cn41 8.534162 
96 4 cn41 6.665787 
96 11 cn41 9.126013 
96 29 cn41 10.14882 
96 34 cn41 7.039253 
96 38 cn41 7.104327 
96 39 cn41 5.624469 
96 7 cn41 7.501671 
96 45 cn41 7.146882 
96 8 cn41 7.568548 
96 32 cn41 6.594525 
96 3 cn41 7.88192 
96 47 cn41 7.482896 
96 1 cn41 7.954382 
96 43 cn41 5.604208 
